article_id,company_key,company_name_raw,company_matched,company_match_method,company_match_score,published_date,date_status,pub_year,pub_quarter,pub_month,category_std,category_raw,revenue_raw,arr_usd,arr_status,currency_detected,company_age,_source_row_number,_loaded_at
ART0001,Scale AI,Scale AI,True,exact,100.0,2020-02-21,parsed,2020,1,2,FINTECH,Financial Technology,,,missing,,17,1,2026-08-22T21:58:37.269504+00:00
ART0002,DataRobot,DataRobot,True,exact,100.0,2023-02-23,parsed,2023,1,2,SOFTWARE,Software,"£244,094,488",310000000,parsed,GBP,11,2,2026-08-22T21:58:37.269504+00:00
ART0003,Meta AI,Meta AI,True,exact,100.0,2022-02-17,parsed,2022,1,2,DATA_ANALYTICS,Analytics,,,missing,,21,3,2026-08-22T21:58:37.269504+00:00
ART0004,Confluent,Confluent,True,exact,100.0,2023-12-13,parsed,2023,4,12,AI_ML,Artificial Intelligence,$980.0M,980000000,parsed,USD,28,4,2026-08-22T21:58:37.269504+00:00
ART0005,Amazon Web Services,Amazon Web Services,True,exact,100.0,2021-12-28,parsed,2021,4,12,FINTECH,Financial Technology,Not disclosed,,not_disclosed,,6,5,2026-08-22T21:58:37.269504+00:00
ART0006,NVIDIA,NVIDIA,True,exact,100.0,2021-10-26,parsed,2021,4,10,FINTECH,FinTech,$16.800B,16800000000,parsed,USD,4,6,2026-08-22T21:58:37.269504+00:00
ART0007,Tesla,Tesla,True,exact,100.0,2022-10-19,parsed,2022,4,10,SECURITY,Security,75000.0M USD,75000000000,parsed,USD,14,7,2026-08-22T21:58:37.269504+00:00
ART0008,Microsoft,Microsoft,True,exact,100.0,2022-10-07,parsed,2022,4,10,AI_ML,Artificial Intelligence,,,missing,,4,8,2026-08-22T21:58:37.269504+00:00
ART0009,MongoDB,MongoDB,True,exact,100.0,2023-02-07,parsed,2023,1,2,AI_ML,AI & ML,$1.480 billion,1480000000,parsed,USD,15,9,2026-08-22T21:58:37.269504+00:00
ART0010,MongoDB,MongoDB,True,exact,100.0,2022-11-05,parsed,2022,4,11,FINTECH,Finance,"€1,254,545,455",1380000000,parsed,EUR,14,10,2026-08-22T21:58:37.269504+00:00
ART0011,OpenAI,OpenAI,True,exact,100.0,2021-10-25,parsed,2021,4,10,AI_ML,AI/ML,$320.0M,320000000,parsed,USD,15,11,2026-08-22T21:58:37.269504+00:00
ART0012,Cloudflare,Cloudflare,True,exact,100.0,2022-12-26,parsed,2022,4,12,CLOUD,Cloud Computing,N/A,,missing,,24,12,2026-08-22T21:58:37.269504+00:00
ART0013,Uber,Uber,True,exact,100.0,2023-08-23,parsed,2023,3,8,SECURITY,Security,$32.000B,32000000000,parsed,USD,8,13,2026-08-22T21:58:37.269504+00:00
ART0014,Confluent,Confluent,True,exact,100.0,2020-01-15,parsed,2020,1,1,AI_ML,Artificial Intelligence,$260.0M,260000000,parsed,USD,25,14,2026-08-22T21:58:37.269504+00:00
ART0015,Tesla,Tesla,True,exact,100.0,2020-09-27,parsed,2020,3,9,SOFTWARE,Enterprise Software,$25.200B,25200000000,parsed,USD,12,15,2026-08-22T21:58:37.269504+00:00
ART0016,Palantir,Palantir,True,exact,100.0,2020-04-20,parsed,2020,2,4,AI_ML,AI & ML,$1.030B,1030000000,parsed,USD,15,16,2026-08-22T21:58:37.269504+00:00
