company_key,latest_published_date,latest_arr_usd,article_id,arr_status
Airbnb,2024-11-20,8190000000,ART0565,parsed
Amazon Web Services,2024-12-20,102600000000,ART0623,parsed
Anthropic,2024-11-17,1034000000,ART0570,parsed
Cloudflare,2024-12-23,1647000000,ART0679,parsed
Cohere,2024-07-15,135000000,ART0750,parsed
Confluent,2024-10-27,1156000000,ART0555,parsed
DataRobot,2024-12-12,407000000,ART0655,parsed
Databricks,2024-12-26,3480000000,ART0716,parsed
Elastic,2024-08-26,1400000000,ART0698,parsed
Google DeepMind,2024-12-21,1215000000,ART0736,parsed
Hugging Face,2024-05-14,82000000,ART0624,parsed
Meta AI,2024-12-19,1950000000,ART0689,parsed
Microsoft,2024-12-02,83850000000,ART0606,parsed
Mistral AI,2024-12-13,260000000,ART0691,parsed
MongoDB,2024-11-13,2057000000,ART0748,parsed
NVIDIA,2024-10-14,62100000000,ART0684,parsed
OpenAI,2024-10-28,4050000000,ART0710,parsed
Palantir,2024-12-12,2691000000,ART0635,parsed
Perplexity AI,2024-09-10,85000000,ART0517,parsed
Scale AI,2024-10-10,1307000000,ART0642,parsed
Snowflake,2024-11-16,3612000000,ART0633,parsed
SpaceX,2024-10-22,9945000000,ART0743,parsed
Stripe,2024-12-02,3909999999,ART0746,parsed
Tesla,2024-07-14,98880000000,ART0547,parsed
The Boring Company / SpaceX,2024-12-12,9945000000,ART0734,parsed
Uber,2024-12-02,37400000000,ART0540,parsed
xAI,2024-11-07,180000000,ART0749,parsed
