company_key,year,quarter,published_date,quarterly_arr_usd,article_id
Airbnb,2020,1,2020-02-27,2600000000,ART0118
Airbnb,2020,4,2020-11-11,3000000000,ART0378
Airbnb,2021,1,2021-01-10,3400000000,ART0437
Airbnb,2021,2,2021-04-04,3800000001,ART0133
Airbnb,2021,3,2021-09-11,4200000000,ART0429
Airbnb,2022,2,2022-06-24,5600000000,ART0398
Airbnb,2023,1,2023-02-13,6600000000,ART0094
Airbnb,2023,3,2023-08-10,7400000000,ART0082
Airbnb,2023,4,2023-11-27,7800000000,ART0504
Airbnb,2024,1,2024-02-23,7878000000,ART0591
Airbnb,2024,2,2024-06-21,7722000000,ART0531
Airbnb,2024,4,2024-11-20,8190000000,ART0565
Amazon Web Services,2020,1,2020-03-27,38000000000,ART0375
Amazon Web Services,2020,3,2020-09-27,45500000000,ART0080
Amazon Web Services,2021,2,2021-05-22,58000000000,ART0247
Amazon Web Services,2021,4,2021-10-15,65000000000,ART0246
Amazon Web Services,2022,1,2022-01-27,70000000000,ART0473
Amazon Web Services,2022,3,2022-07-09,78000000000,ART0117
Amazon Web Services,2022,4,2022-11-22,81000000000,ART0233
Amazon Web Services,2023,2,2023-04-02,88500000000,ART0696
Amazon Web Services,2023,3,2023-08-15,92000000000,ART0369
Amazon Web Services,2023,4,2023-11-19,95000000000,ART0114
Amazon Web Services,2024,1,2024-03-06,96900000000,ART0530
Amazon Web Services,2024,2,2024-06-09,98800000000,ART0503
Amazon Web Services,2024,3,2024-09-27,100700000000,ART0670
Amazon Web Services,2024,4,2024-12-20,102600000000,ART0623
Anthropic,2020,1,2020-02-21,5000000,ART0468
Anthropic,2020,4,2020-10-29,12000000,ART0250
Anthropic,2021,1,2021-02-27,18000000,ART0330
Anthropic,2021,2,2021-06-30,28000000,ART0307
Anthropic,2021,3,2021-09-03,45000000,ART0157
Anthropic,2021,4,2021-10-22,70000000,ART0311
Anthropic,2022,1,2022-03-11,95000000,ART0226
Anthropic,2022,2,2022-06-19,130000000,ART0261
Anthropic,2022,4,2022-12-24,250000000,ART0457
Anthropic,2023,1,2023-02-28,320000000,ART0534
Anthropic,2023,2,2023-05-17,380000000,ART0249
Anthropic,2023,3,2023-08-11,430000000,ART0729
Anthropic,2024,1,2024-02-26,602000000,ART0701
Anthropic,2024,3,2024-08-20,884000000,ART0597
Anthropic,2024,4,2024-11-17,1034000000,ART0570
Cloudflare,2020,1,2020-01-19,390000000,ART0368
Cloudflare,2020,2,2020-06-19,420000000,ART0485
Cloudflare,2020,3,2020-08-22,455000000,ART0045
Cloudflare,2020,4,2020-10-20,500000000,ART0075
Cloudflare,2021,1,2021-03-25,560000000,ART0336
Cloudflare,2021,2,2021-04-05,620000000,ART0038
Cloudflare,2022,2,2022-04-15,875000000,ART0085
Cloudflare,2022,3,2022-07-27,945000000,ART0498
Cloudflare,2022,4,2022-10-15,1010000000,ART0142
Cloudflare,2023,2,2023-06-14,1180000000,ART0119
Cloudflare,2023,3,2023-09-28,1260000000,ART0100
Cloudflare,2023,4,2023-10-21,1350000000,ART0294
Cloudflare,2024,1,2024-03-06,1431000001,ART0726
Cloudflare,2024,2,2024-04-18,1499000000,ART0653
Cloudflare,2024,3,2024-08-21,1566000000,ART0563
Cloudflare,2024,4,2024-12-23,1647000000,ART0679
Cohere,2022,2,2022-04-09,47250000,ART0595
Cohere,2023,3,2023-09-23,91800000,ART0518
Cohere,2023,4,2023-11-05,115600000,ART0536
Cohere,2024,2,2024-06-10,105000000,ART0692
Cohere,2024,3,2024-07-15,135000000,ART0750
Confluent,2020,1,2020-01-15,260000000,ART0014
Confluent,2020,2,2020-06-06,285000000,ART0230
Confluent,2020,4,2020-12-29,339999999,ART0420
Confluent,2021,1,2021-03-27,390000000,ART0209
Confluent,2021,2,2021-06-14,455000000,ART0242
Confluent,2022,1,2022-03-19,600000000,ART0243
Confluent,2022,2,2022-05-28,655000000,ART0096
Confluent,2022,4,2022-12-20,735000000,ART0130
Confluent,2023,1,2023-03-25,790000000,ART0357
Confluent,2023,2,2023-04-15,860000000,ART0525
Confluent,2023,4,2023-12-13,980000000,ART0004
Confluent,2024,1,2024-03-13,1019000000,ART0584
Confluent,2024,4,2024-10-27,1156000000,ART0555
DataRobot,2020,2,2020-05-20,150000000,ART0337
DataRobot,2020,3,2020-09-06,170000000,ART0460
DataRobot,2020,4,2020-12-29,190000000,ART0338
DataRobot,2021,1,2021-01-19,220000000,ART0371
DataRobot,2021,2,2021-05-19,245000000,ART0189
DataRobot,2021,4,2021-10-21,275000000,ART0034
DataRobot,2022,1,2022-02-26,300000000,ART0345
DataRobot,2022,2,2022-05-26,315000000,ART0212
DataRobot,2022,3,2022-09-26,305000000,ART0041
DataRobot,2022,4,2022-11-22,295000000,ART0346
DataRobot,2023,1,2023-03-09,310000000,ART0566
